video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Zof6i5quTa4&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@LaKarencitaMX,La Karencita,Weird things that Mexicans do (That they don't know are weird),55K,4 years,"If you like this video and you would like to know about more odd and interesting things about Mexican culture, please let me know ...",2026-01-22 00:15:43.628712
/watch?v=QRHb1ss8ykk&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@TheCrazyGorilla,TheCrazyGorilla,TRADITIONS in a Mexican House (Compilation),2M,2 years,We put together an almost 4-hour long compilation of all the different traditions that happen in a Mexican house! The videos ...,2026-01-22 00:15:43.630063
/watch?v=FV_-mPhqWbE&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@CadeandDaisy,Cade & Daisy,10 Mexico Culture Shocks (After Living There for a Year),3K,8 months,"As an American who has lived over a year in Mexico, I've experienced some wild and hilarious culture shocks — and in this video, ...",2026-01-22 00:15:43.638473
/watch?v=L_A_nYeIdzo&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@Indigenous_Revolution,Indigenous Revolution ,Indigenous History & Genetics of Ancient and Modern Mexico: A Complete History #mexico  #indigenous,21K,4 months,Indigenous History of Mexico: From the First Peoples to Modern Identity Travel through thousands of years of history to see how ...,2026-01-22 00:15:43.639812
/watch?v=YH6cI8s5d28&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@EatBailaTravel,Eat Baila Travel,5 culture shocks of living in Mexico as Mexican-Americans,43K,4 years,We are Jenny and Kevin two Mexican Americans from Chicago who decided to move to Mexico in 2021. Our channel is called Eat ...,2026-01-22 00:15:43.641906
/watch?v=Pz9XY1-9Hc0&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@PasoRoblesPodcastStudio,Paso Robles Podcast Studio EZF Media,The Vibrance of Mexican Culture with Dustin Mercado Willis | Get Real With Liz,1.5K,5 months,Elizabeth Gutierrez sits down with Dustin Mercado Willis — a creator with a massive following who proudly celebrates and ...,2026-01-22 00:15:43.644380
/watch?v=jdhUikwuoao&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@offthemenuyt,Matthew Li,"Mexican Food, Mapped",53K,11 months,"Subscribe for more videos in the future: https://bit.ly/3Jz0f2c Mexican food is one of the most famous cuisines in the world, for its ...",2026-01-22 00:15:43.647371
/shorts/tBZpXIYo1o0,/@lacucarachasara,La Cucaracha Sara,Mexican Culture #pozole,2K,1 year,In the United States we have taco t that doesn't exist in Mexico in Mexico they have Oro which means Thursdays or Fridays they ...,2026-01-22 00:15:43.648662
/watch?v=N2yfv44A8gw&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@PeterSantenello,Peter Santenello,Inside Chicano Culture With an OG (East LA) 🇺🇸🇲🇽,6.1M,2 years,"Today we meet up with an old-school Chicano OG (Veterano), seasoned with stories of crime and drug abuse, but also a story of a ...",2026-01-22 00:15:43.649830
/shorts/Aiud1K7tGpk,/@TheConnectclipss,The Connect.clipss,The Untold Story of Mexican Culture in Chicago,3.6K,2 years,"Johnny speaks with JC of the @wrongtostrong network on YouTube about growing up as a gangbanger in Chicago, trafficking ...",2026-01-22 00:15:52.069358
